"project","organism","file_source","project_home","project_type","n_samples"
"SRP170963","mouse","sra","data_sources/sra","data_sources",368
"SRP045763","mouse","sra","data_sources/sra","data_sources",22
"DRP005463","mouse","sra","data_sources/sra","data_sources",12
"SRP172863","mouse","sra","data_sources/sra","data_sources",8
"SRP186363","mouse","sra","data_sources/sra","data_sources",13
"SRP101363","mouse","sra","data_sources/sra","data_sources",22
"SRP211763","mouse","sra","data_sources/sra","data_sources",12
"SRP151463","mouse","sra","data_sources/sra","data_sources",28
"SRP073063","mouse","sra","data_sources/sra","data_sources",12
"SRP116963","mouse","sra","data_sources/sra","data_sources",2
"SRP094963","mouse","sra","data_sources/sra","data_sources",12
"SRP078563","mouse","sra","data_sources/sra","data_sources",54
"SRP057563","mouse","sra","data_sources/sra","data_sources",31
"SRP124663","mouse","sra","data_sources/sra","data_sources",9
"SRP109763","mouse","sra","data_sources/sra","data_sources",24
"SRP034663","mouse","sra","data_sources/sra","data_sources",14
"SRP058363","mouse","sra","data_sources/sra","data_sources",8
"SRP096963","mouse","sra","data_sources/sra","data_sources",18
"SRP145463","mouse","sra","data_sources/sra","data_sources",4
"SRP214463","mouse","sra","data_sources/sra","data_sources",8
"SRP173963","mouse","sra","data_sources/sra","data_sources",12
"SRP115363","mouse","sra","data_sources/sra","data_sources",16
"SRP120563","mouse","sra","data_sources/sra","data_sources",24
"SRP200563","mouse","sra","data_sources/sra","data_sources",30
"SRP096363","mouse","sra","data_sources/sra","data_sources",8
"SRP136563","mouse","sra","data_sources/sra","data_sources",6
"SRP182063","mouse","sra","data_sources/sra","data_sources",13
"SRP102963","mouse","sra","data_sources/sra","data_sources",1
"SRP175263","mouse","sra","data_sources/sra","data_sources",6
"SRP119763","mouse","sra","data_sources/sra","data_sources",4
"SRP132563","mouse","sra","data_sources/sra","data_sources",1
"SRP091863","mouse","sra","data_sources/sra","data_sources",16
"SRP066863","mouse","sra","data_sources/sra","data_sources",4
"SRP063063","mouse","sra","data_sources/sra","data_sources",252
"SRP194263","mouse","sra","data_sources/sra","data_sources",18
"SRP214663","mouse","sra","data_sources/sra","data_sources",10
"SRP093363","mouse","sra","data_sources/sra","data_sources",12
"SRP049363","mouse","sra","data_sources/sra","data_sources",6
"SRP058063","mouse","sra","data_sources/sra","data_sources",7
"SRP070963","mouse","sra","data_sources/sra","data_sources",29
"SRP057763","mouse","sra","data_sources/sra","data_sources",8
"SRP093263","mouse","sra","data_sources/sra","data_sources",3
"SRP124463","mouse","sra","data_sources/sra","data_sources",12
"SRP098763","mouse","sra","data_sources/sra","data_sources",2
"SRP226863","mouse","sra","data_sources/sra","data_sources",9
"SRP051463","mouse","sra","data_sources/sra","data_sources",14
"SRP066963","mouse","sra","data_sources/sra","data_sources",425
"SRP132463","mouse","sra","data_sources/sra","data_sources",6
"SRP106863","mouse","sra","data_sources/sra","data_sources",18
"ERP018163","mouse","sra","data_sources/sra","data_sources",16
"SRP071963","mouse","sra","data_sources/sra","data_sources",60
"SRP128663","mouse","sra","data_sources/sra","data_sources",16
"SRP201863","mouse","sra","data_sources/sra","data_sources",6
"SRP067763","mouse","sra","data_sources/sra","data_sources",16
"SRP216863","mouse","sra","data_sources/sra","data_sources",1533
"SRP063563","mouse","sra","data_sources/sra","data_sources",8
"SRP041363","mouse","sra","data_sources/sra","data_sources",6
"SRP141163","mouse","sra","data_sources/sra","data_sources",3
"SRP056963","mouse","sra","data_sources/sra","data_sources",4
"SRP113763","mouse","sra","data_sources/sra","data_sources",99
"SRP176663","mouse","sra","data_sources/sra","data_sources",190
"SRP049763","mouse","sra","data_sources/sra","data_sources",36
"SRP082563","mouse","sra","data_sources/sra","data_sources",9
"SRP091663","mouse","sra","data_sources/sra","data_sources",4
"SRP077563","mouse","sra","data_sources/sra","data_sources",14
"SRP078263","mouse","sra","data_sources/sra","data_sources",3
"SRP071663","mouse","sra","data_sources/sra","data_sources",1
"SRP221463","mouse","sra","data_sources/sra","data_sources",6
"SRP100463","mouse","sra","data_sources/sra","data_sources",631
"SRP133163","mouse","sra","data_sources/sra","data_sources",11
"SRP215863","mouse","sra","data_sources/sra","data_sources",48
"ERP003263","mouse","sra","data_sources/sra","data_sources",55
"SRP052063","mouse","sra","data_sources/sra","data_sources",2
"SRP118963","mouse","sra","data_sources/sra","data_sources",9
"SRP076563","mouse","sra","data_sources/sra","data_sources",3
"SRP215263","mouse","sra","data_sources/sra","data_sources",8
"SRP032963","mouse","sra","data_sources/sra","data_sources",8
"SRP158763","mouse","sra","data_sources/sra","data_sources",20
"SRP074463","mouse","sra","data_sources/sra","data_sources",40
"SRP035263","mouse","sra","data_sources/sra","data_sources",8
"DRP002863","mouse","sra","data_sources/sra","data_sources",150
"SRP237663","mouse","sra","data_sources/sra","data_sources",2
"SRP045263","mouse","sra","data_sources/sra","data_sources",6
"SRP213363","mouse","sra","data_sources/sra","data_sources",12
"ERP110063","mouse","sra","data_sources/sra","data_sources",8
