"source","type","bp_length","phase","gene_id","gene_type","gene_name","level","mgi_id","havana_gene","tag","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HAVANA","gene",2474,NA,"ENSMUSG00000085440.1","lncRNA","Sorbs2os","2","MGI:2443013","OTTMUSG00000034081.1",NA,0.921068329894259,4.8705657068573,4.64187166105861,7.15002776863592e-05,0.998376908971885,-3.41635799404806
"HAVANA","gene",5975,NA,"ENSMUSG00000097828.2","lncRNA","6430562O15Rik","2","MGI:2444982","OTTMUSG00000067820.1",NA,-2.95761270692426,1.00233833720931,-4.24487329588442,0.000211882118006007,0.998376908971885,-4.48422320666062
"HAVANA","gene",3610,NA,"ENSMUSG00000039908.14","protein_coding","Slc26a11","2","MGI:2444589","OTTMUSG00000003912.1",NA,-3.01710288693442,-0.481100041422973,-4.0556539232759,0.000354020639504386,0.998376908971885,-4.52854646613946
"HAVANA","gene",2162,NA,"ENSMUSG00000046160.6","protein_coding","Olig1","2","MGI:1355334","OTTMUSG00000019872.1",NA,-2.99743085605028,1.06293201524608,-4.04574023548863,0.000363632225740946,0.998376908971885,-4.48013031785848
"HAVANA","gene",6099,NA,"ENSMUSG00000024769.7","protein_coding","Cdc42bpg","2","MGI:2652845","OTTMUSG00000018623.3",NA,-2.33226918051212,0.972300756083252,-3.79496797496939,0.000712993757774663,0.998376908971885,-4.49537849704328
"HAVANA","gene",1988,NA,"ENSMUSG00000086502.1","lncRNA","B130055M24Rik","2","MGI:3590645","OTTMUSG00000022495.1","overlapping_locus",1.20768937565851,3.26650370261667,3.62457461297132,0.00112040422669932,0.998376908971885,-4.31471040219621
"HAVANA","gene",973,NA,"ENSMUSG00000113102.1","TEC","A930040O22Rik","2","MGI:1925223","OTTMUSG00000065921.1",NA,2.73610715267802,0.209980773468465,3.61938112958269,0.00113585315054927,0.998376908971885,-4.53952310179428
"HAVANA","gene",1995,NA,"ENSMUSG00000104107.1","TEC","Gm37879","2","MGI:5611107","OTTMUSG00000044757.1","overlapping_locus",2.31835390568903,1.18395133325522,3.56291503712242,0.00131777303602766,0.998376908971885,-4.51643155759406
"HAVANA","gene",2896,NA,"ENSMUSG00000021504.14","protein_coding","B4galt7","2","MGI:2384987","OTTMUSG00000027738.6",NA,2.49541245355796,1.48956391659087,3.54321511546267,0.00138766842248029,0.998376908971885,-4.52369186425523
"HAVANA","gene",4435,NA,"ENSMUSG00000024142.15","protein_coding","Mlst8","2","MGI:1929514","OTTMUSG00000072967.7",NA,1.60854751706552,2.28743770248126,3.53993199955359,0.00139966150124455,0.998376908971885,-4.45843982964656
"HAVANA","gene",5149,NA,"ENSMUSG00000054321.7","protein_coding","Taf4b","2","MGI:2152345","OTTMUSG00000068678.2",NA,2.70761327205223,0.369983397156586,3.53051521015292,0.00143462126706086,0.998376908971885,-4.54343069989587
"HAVANA","gene",1886,NA,"ENSMUSG00000076617.9","IG_C_gene","Ighm","2","MGI:96448","OTTMUSG00000051485.2",NA,3.19036366725891,-0.552144142106127,3.49101961364691,0.00159069850595017,0.998376908971885,-4.54939079384663
"HAVANA","gene",2795,NA,"ENSMUSG00000028383.17","protein_coding","Hsdl2","2","MGI:1919729","OTTMUSG00000007335.2",NA,-1.90604462519414,1.71924483486101,-3.48300963623231,0.00162430098971303,0.998376908971885,-4.48909558811757
"HAVANA","gene",2802,NA,"ENSMUSG00000031776.17","protein_coding","Arl2bp","2","MGI:1349429","OTTMUSG00000061690.1",NA,-0.732309741029933,4.26392217811571,-3.48006406862127,0.00163682996460218,0.998376908971885,-4.08577360595495
"HAVANA","gene",3297,NA,"ENSMUSG00000025647.16","protein_coding","Shisa5","2","MGI:1915044","OTTMUSG00000031613.8",NA,-2.13310687391542,1.09929880324617,-3.46466365704404,0.00170387460106709,0.998376908971885,-4.51256738604856
"HAVANA","gene",5380,NA,"ENSMUSG00000071636.8","protein_coding","Rimbp3","2","MGI:2685449","OTTMUSG00000024840.3",NA,2.59946180514447,0.195156210593039,3.4412825681437,0.00181077039300578,0.998376908971885,-4.54146499831026
"HAVANA","gene",2436,NA,"ENSMUSG00000051444.9","protein_coding","Bbs12","2","MGI:2686651","OTTMUSG00000007355.4","overlapping_locus",2.58037555213219,0.954423440559035,3.39795522647234,0.00202624981106595,0.998376908971885,-4.51896707000769
"HAVANA","gene",1085,NA,"ENSMUSG00000102670.1","TEC","Gm37436","2","MGI:5610664","OTTMUSG00000050972.1",NA,2.71196022385596,0.0996652386622107,3.365249200703,0.00220510253750483,0.998376908971885,-4.55010836977569
"HAVANA","gene",3549,NA,"ENSMUSG00000001901.15","protein_coding","Kcnh6","2","MGI:2684139","OTTMUSG00000002939.3",NA,2.4935837152439,0.169903238239375,3.33188404775141,0.00240321144875611,0.998376908971885,-4.55172797131005
"HAVANA","gene",10786,NA,"ENSMUSG00000027957.13","protein_coding","Slc35a3","2","MGI:1917648","OTTMUSG00000029522.4","overlapping_locus",0.762777997179828,4.23184768910939,3.31888706701598,0.00248493376576412,0.998376908971885,-4.07889275466017
